DATE,CHAIN,TOTAL_TX,TTL_TX_COUNT,TOTAL_USER,TPS
2024-07-17 00:00:00.000,Sei,4171450,4171450,3221,48.280671
2024-07-22 00:00:00.000,Sei,4232266,4232266,3661,48.98456
2024-08-01 00:00:00.000,Sei,4194392,4194392,6741,48.546204
2024-08-02 00:00:00.000,Solana,36960415,36960415,1121694,427.782581
2024-08-13 00:00:00.000,Solana,37797619,37797619,1154062,437.472442
2024-08-03 00:00:00.000,Aptos,1954937,1954937,135166,22.626586
2024-08-05 00:00:00.000,Aptos,2274306,2274306,300515,26.322986
2024-08-08 00:00:00.000,Base,3421403,3421403,572082,39.599572
2024-07-20 00:00:00.000,Ethereum,1082448,1082448,367697,12.528333
2024-08-05 00:00:00.000,Polygon,3046778,3046778,679197,35.263634
2024-07-30 00:00:00.000,Avalanche,162061,162061,36814,1.875706
2024-07-24 00:00:00.000,Polygon,3376641,3376641,1398522,39.081493
2024-08-13 00:00:00.000,Base,3815602,3815602,800251,44.16206
2024-08-05 00:00:00.000,Flow,73570,73570,3424,0.851505
2024-07-29 00:00:00.000,Near,7121375,7121375,2144651,82.423322
2024-08-11 00:00:00.000,Near,5383767,5383767,760629,62.312118
2024-08-01 00:00:00.000,Solana,38076725,38076725,1263941,440.702836
2024-07-17 00:00:00.000,Ethereum,1153911,1153911,337321,13.355451
2024-07-21 00:00:00.000,Blast,817798,817798,44658,9.465255
2024-08-10 00:00:00.000,Near,5608917,5608917,724798,64.918021
2024-08-04 00:00:00.000,Aptos,1756370,1756370,188911,20.328356
2024-08-12 00:00:00.000,Solana,39416285,39416285,993165,456.207002
2024-07-17 00:00:00.000,Arbitrum,2407786,2407786,581195,27.867894
2024-07-20 00:00:00.000,Polygon,3058350,3058350,1296756,35.397569
2024-08-16 00:00:00.000,Optimism,492469,492469,55124,5.699873
2024-08-16 00:00:00.000,Avalanche,132962,132962,37263,1.538912
2024-07-26 00:00:00.000,Polygon,2795555,2795555,874074,32.355961
2024-08-12 00:00:00.000,Ethereum,1016740,1016740,293983,11.767824
2024-07-21 00:00:00.000,Avalanche,187643,187643,34986,2.171794
2024-08-14 00:00:00.000,Sei,4197783,4197783,7386,48.585451
2024-07-27 00:00:00.000,Solana,44172695,44172695,1230821,511.258044
2024-07-29 00:00:00.000,Solana,44346324,44346324,1349723,513.267639
2024-07-26 00:00:00.000,Optimism,475793,475793,76495,5.506863
2024-08-02 00:00:00.000,Arbitrum,2169448,2169448,439926,25.109352
2024-08-15 00:00:00.000,Base,3864877,3864877,749084,44.732373
2024-07-27 00:00:00.000,Avalanche,135432,135432,27609,1.5675
2024-07-27 00:00:00.000,Near,5426975,5426975,1955715,62.812211
2024-08-15 00:00:00.000,Aptos,327094558,327094558,211159,3785.816644
2024-08-12 00:00:00.000,Sei,4281389,4281389,7372,49.553113
2024-07-25 00:00:00.000,Polygon,3306955,3306955,1208637,38.274942
2024-08-16 00:00:00.000,BSC,2845516,2845516,785825,32.934213
2024-07-25 00:00:00.000,Flow,144542,144542,7798,1.67294
2024-07-26 00:00:00.000,Sei,4222086,4222086,3425,48.866736
2024-07-28 00:00:00.000,Ethereum,1020443,1020443,367196,11.810683
2024-07-29 00:00:00.000,Blast,771719,771719,43293,8.931933
2024-08-04 00:00:00.000,Sei,3521802,3521802,5713,40.761597
2024-08-10 00:00:00.000,Optimism,405207,405207,55241,4.689896
2024-08-04 00:00:00.000,BSC,3378046,3378046,769143,39.097755
2024-08-14 00:00:00.000,Optimism,488341,488341,65487,5.652095
2024-08-11 00:00:00.000,Ethereum,964729,964729,320860,11.165845
2024-07-21 00:00:00.000,Base,3921894,3921894,743246,45.392292
2024-07-28 00:00:00.000,Near,6259651,6259651,1977307,72.449664
2024-08-16 00:00:00.000,Flow,519171,519171,70384,6.008924
2024-07-21 00:00:00.000,Near,6531253,6531253,1931486,75.593206
2024-08-09 00:00:00.000,Solana,37970100,37970100,900417,439.46875
2024-08-07 00:00:00.000,Solana,33393138,33393138,1190266,386.494653
2024-07-17 00:00:00.000,Polygon,3671127,3671127,1409798,42.489896
2024-07-22 00:00:00.000,BSC,3240569,3240569,864944,37.506586
2024-08-16 00:00:00.000,Arbitrum,1772783,1772783,361957,20.518322
2024-07-29 00:00:00.000,Optimism,459432,459432,76177,5.3175
2024-08-13 00:00:00.000,Avalanche,127088,127088,23426,1.470926
2024-07-31 00:00:00.000,Sei,4898105,4898105,6618,56.69103
2024-08-05 00:00:00.000,Optimism,710896,710896,61648,8.227963
2024-08-02 00:00:00.000,Polygon,2875957,2875957,700654,33.286539
2024-07-30 00:00:00.000,Blast,793390,793390,41033,9.182755
2024-07-27 00:00:00.000,Ethereum,1053101,1053101,342417,12.188669
2024-07-29 00:00:00.000,Arbitrum,1981578,1981578,475649,22.934931
2024-08-13 00:00:00.000,Ethereum,1054942,1054942,333146,12.209977
2024-07-18 00:00:00.000,Arbitrum,3270622,3270622,1093802,37.854421
2024-08-11 00:00:00.000,BSC,2498576,2498576,743947,28.918704
2024-08-13 00:00:00.000,Sei,4263822,4263822,90136,49.349792
2024-08-04 00:00:00.000,Solana,37551377,37551377,1101600,434.622419
2024-07-28 00:00:00.000,Aptos,1509294,1509294,172570,17.468681
2024-07-27 00:00:00.000,Sei,4248156,4248156,3057,49.168472
2024-08-03 00:00:00.000,Solana,37689780,37689780,940733,436.224306
2024-07-17 00:00:00.000,Blast,719033,719033,62767,8.322141
2024-08-09 00:00:00.000,Optimism,500729,500729,61438,5.795475
2024-07-21 00:00:00.000,Ethereum,1092149,1092149,347778,12.640613
2024-07-18 00:00:00.000,Near,6994834,6994834,2003018,80.958727
2024-08-08 00:00:00.000,Sei,2604034,2604034,5829,30.139282
2024-07-28 00:00:00.000,Blast,699068,699068,44334,8.091065
2024-08-08 00:00:00.000,BSC,3548382,3548382,795242,41.069236
2024-07-20 00:00:00.000,Avalanche,148985,148985,35467,1.724363
2024-07-31 00:00:00.000,Ethereum,1142293,1142293,361066,13.220984
2024-07-25 00:00:00.000,Optimism,498587,498587,76526,5.770683
2024-08-10 00:00:00.000,Polygon,2590154,2590154,771981,29.978634
2024-08-15 00:00:00.000,Avalanche,135263,135263,23534,1.565544
2024-07-18 00:00:00.000,Ethereum,1147752,1147752,350181,13.284167
2024-07-23 00:00:00.000,Arbitrum,2098624,2098624,504095,24.28963
2024-08-06 00:00:00.000,Solana,34044668,34044668,981471,394.035509
2024-07-24 00:00:00.000,Aptos,1796715,1796715,208463,20.795313
2024-08-01 00:00:00.000,Arbitrum,2016764,2016764,379615,23.342176
2024-08-04 00:00:00.000,Blast,678612,678612,29054,7.854306
2024-08-01 00:00:00.000,Near,5829684,5829684,1770793,67.473194
2024-07-29 00:00:00.000,Sei,3980032,3980032,4880,46.065185
2024-07-31 00:00:00.000,Base,3343673,3343673,558415,38.699919
2024-08-09 00:00:00.000,Ethereum,1075074,1075074,339203,12.442986
2024-08-13 00:00:00.000,Blast,876417,876417,36404,10.143715
2024-08-14 00:00:00.000,Near,6567742,6567742,706666,76.015532
2024-08-06 00:00:00.000,Sei,2756960,2756960,6053,31.909259
2024-07-22 00:00:00.000,Solana,43924578,43924578,1341119,508.386319
2024-07-20 00:00:00.000,Aptos,1635168,1635168,163948,18.925556
2024-07-24 00:00:00.000,Solana,44525075,44525075,1266986,515.336516
2024-08-09 00:00:00.000,Polygon,2744433,2744433,701751,31.764271
2024-08-04 00:00:00.000,Optimism,465115,465115,49812,5.383275
2024-07-28 00:00:00.000,Sei,4235803,4235803,3324,49.025498
2024-08-05 00:00:00.000,Arbitrum,2344992,2344992,234888,27.141111
2024-08-01 00:00:00.000,Blast,785775,785775,30101,9.094618
2024-08-03 00:00:00.000,BSC,3055095,3055095,823254,35.359896
2024-08-03 00:00:00.000,Base,3003987,3003987,590649,34.768368
2024-08-15 00:00:00.000,Arbitrum,2060703,2060703,364187,23.850729
2024-08-09 00:00:00.000,Avalanche,141681,141681,25289,1.639826
2024-08-12 00:00:00.000,Avalanche,149114,149114,23787,1.725856
2024-07-22 00:00:00.000,Flow,213949,213949,4060,2.476262
2024-08-12 00:00:00.000,Flow,473180,473180,77883,5.47662
2024-08-16 00:00:00.000,Sei,4104319,4104319,19247,47.503692
2024-07-18 00:00:00.000,Sei,4168051,4168051,3225,48.241331
2024-07-20 00:00:00.000,Sei,4275394,4275394,3611,49.483727
2024-07-24 00:00:00.000,Sei,4291650,4291650,3317,49.671875
2024-07-23 00:00:00.000,Aptos,4369272,4369272,210669,50.570278
2024-08-14 00:00:00.000,Avalanche,138226,138226,29744,1.599838
2024-08-05 00:00:00.000,Avalanche,313407,313407,37380,3.627396
2024-07-28 00:00:00.000,Optimism,380599,380599,67717,4.405081
2024-07-27 00:00:00.000,Optimism,448475,448475,66112,5.190683
2024-07-29 00:00:00.000,Base,3585478,3585478,642971,41.498588
2024-08-03 00:00:00.000,Polygon,2703862,2703862,724819,31.294699
2024-07-19 00:00:00.000,Arbitrum,2372342,2372342,685759,27.457662
2024-08-06 00:00:00.000,Arbitrum,2305602,2305602,424252,26.685208
2024-07-24 00:00:00.000,Blast,762893,762893,42531,8.82978
2024-08-01 00:00:00.000,Flow,75893,75893,4914,0.878391
2024-08-07 00:00:00.000,Flow,160784,160784,4358,1.860926
2024-08-14 00:00:00.000,Solana,39979258,39979258,977584,462.722894
2024-07-26 00:00:00.000,Arbitrum,1809182,1809182,447017,20.939606
2024-07-25 00:00:00.000,BSC,3155815,3155815,835732,36.525637
2024-07-26 00:00:00.000,Base,3964491,3964491,587528,45.885313
2024-08-01 00:00:00.000,Ethereum,1097472,1097472,322282,12.702222
2024-07-18 00:00:00.000,Base,3925155,3925155,768082,45.430035
2024-07-17 00:00:00.000,Near,7053723,7053723,1971137,81.640313
2024-07-18 00:00:00.000,Aptos,1659628,1659628,172867,19.208657
2024-08-10 00:00:00.000,Sei,4131093,4131093,4960,47.813576
2024-07-23 00:00:00.000,Flow,158416,158416,6073,1.833519
2024-07-26 00:00:00.000,Aptos,1539819,1539819,184073,17.821979
2024-07-25 00:00:00.000,Sei,4234390,4234390,3362,49.009144
2024-08-05 00:00:00.000,Blast,743454,743454,35485,8.604792
2024-08-04 00:00:00.000,Base,3268892,3268892,577130,37.834398
2024-08-11 00:00:00.000,Base,3572782,3572782,733924,41.351644
2024-07-24 00:00:00.000,BSC,3257873,3257873,867207,37.706863
2024-08-09 00:00:00.000,Base,3496794,3496794,645711,40.472153
2024-08-11 00:00:00.000,Arbitrum,1699201,1699201,339891,19.666678
2024-07-28 00:00:00.000,Flow,161493,161493,3476,1.869132
2024-08-06 00:00:00.000,Aptos,1871140,1871140,170604,21.656713
2024-08-10 00:00:00.000,Solana,37919294,37919294,733895,438.880718
2024-08-01 00:00:00.000,Polygon,2842123,2842123,708441,32.894942
2024-07-19 00:00:00.000,Near,5951908,5951908,1933203,68.887824
2024-08-08 00:00:00.000,Aptos,1504183,1504183,63986,17.409525
2024-08-07 00:00:00.000,Sei,3210472,3210472,5493,37.158241
2024-07-31 00:00:00.000,Solana,40468660,40468660,1250526,468.387269
2024-07-25 00:00:00.000,Arbitrum,2078956,2078956,452032,24.061991
2024-08-07 00:00:00.000,BSC,3539501,3539501,833380,40.966447
2024-08-10 00:00:00.000,Ethereum,1030658,1030658,388582,11.928912
2024-08-09 00:00:00.000,Arbitrum,1916966,1916966,343505,22.187106
2024-08-14 00:00:00.000,Polygon,2548867,2548867,729359,29.500775
2024-08-07 00:00:00.000,Avalanche,152408,152408,29154,1.763981
2024-08-14 00:00:00.000,Ethereum,1243543,1243543,519389,14.392859
2024-08-02 00:00:00.000,Flow,66410,66410,5974,0.768634
2024-07-31 00:00:00.000,Aptos,2402656,2402656,197455,27.808519
2024-08-02 00:00:00.000,BSC,3427133,3427133,814060,39.665891
2024-08-05 00:00:00.000,Base,3119452,3119452,402208,36.104769
2024-08-04 00:00:00.000,Arbitrum,2035953,2035953,415841,23.564271
2024-08-16 00:00:00.000,Blast,1242640,1242640,34474,14.382407
2024-08-15 00:00:00.000,Ethereum,1221327,1221327,483825,14.135729
2024-07-18 00:00:00.000,Polygon,3486646,3486646,1343660,40.354699
2024-07-23 00:00:00.000,Optimism,520168,520168,82109,6.020463
2024-07-19 00:00:00.000,Flow,160514,160514,9724,1.857801
2024-07-17 00:00:00.000,Solana,41285594,41285594,1198652,477.842523
2024-07-25 00:00:00.000,Solana,46824456,46824456,1177905,541.949722
2024-08-11 00:00:00.000,Sei,4250659,4250659,5546,49.197442
2024-08-08 00:00:00.000,Ethereum,1074082,1074082,316931,12.431505
2024-08-04 00:00:00.000,Polygon,2732342,2732342,756152,31.624329
2024-08-14 00:00:00.000,Arbitrum,1937394,1937394,345230,22.423542
2024-07-21 00:00:00.000,BSC,2868488,2868488,786864,33.200093
2024-07-20 00:00:00.000,Near,5915186,5915186,1903821,68.462801
2024-07-27 00:00:00.000,Flow,162337,162337,3569,1.8789
2024-08-06 00:00:00.000,Polygon,2957943,2957943,810026,34.235451
2024-08-16 00:00:00.000,Polygon,2671228,2671228,707989,30.916991
2024-07-27 00:00:00.000,Base,4161494,4161494,681213,48.16544
2024-07-26 00:00:00.000,Near,5617285,5617285,1871579,65.014873
2024-07-31 00:00:00.000,BSC,3176167,3176167,830775,36.761192
2024-08-01 00:00:00.000,Optimism,514173,514173,57782,5.951076
2024-07-29 00:00:00.000,Ethereum,1065165,1065165,347230,12.328299
2024-07-21 00:00:00.000,Optimism,516709,516709,83527,5.980428
2024-08-13 00:00:00.000,Near,6084074,6084074,711664,70.417523
2024-08-07 00:00:00.000,Ethereum,1099933,1099933,357191,12.730706
2024-07-22 00:00:00.000,Ethereum,1122027,1122027,351021,12.986424
2024-07-30 00:00:00.000,Base,3441966,3441966,568762,39.837569
2024-08-10 00:00:00.000,Arbitrum,1619124,1619124,370903,18.739861
2024-08-10 00:00:00.000,Blast,884404,884404,28168,10.236157
2024-08-16 00:00:00.000,Base,3825427,3825427,765226,44.275775
2024-07-29 00:00:00.000,BSC,3366542,3366542,844951,38.964606
2024-08-12 00:00:00.000,BSC,3705143,3705143,1703247,42.8836
